#group,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_measurement,_field,Sensor,Type
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-26T12:50:00.52Z,3,Tower 1,ESP32,10 DOF,Wind
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-26T13:50:00.52Z,5,Tower 1 ,ESP32,10 DOF,Wind
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-26T14:50:00.52Z,4,Tower 1,ESP32,10 DOF,Wind
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-26T15:50:00.52Z,5,Tower 1,ESP32,10 DOF,Wind
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-26T16:50:00.52Z,4,Tower 1,ESP32,10 DOF,Wind
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-26T17:50:00.52Z,3,Tower 1,ESP32,10 DOF,Wind
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-26T18:50:00.52Z,4,Tower 1,ESP32,10 DOF,Wind
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-26T19:50:00.52Z,5,Tower 1,ESP32,10 DOF,Wind
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-26T20:50:00.52Z,6,Tower 1,ESP32,10 DOF,Wind
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-26T21:50:00.52Z,7,Tower 1,ESP32,10 DOF,Wind
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-26T22:00:00.52Z,8,Tower 1,ESP32,10 DOF,Wind
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-26T23:50:00.52Z,9,Tower 1,ESP32,10 DOF,Wind
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-27T00:50:00.52Z,10,Tower 1,ESP32,10 DOF,Wind
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-27T01:50:00.52Z,11,Tower 1,ESP32,10 DOF,Wind
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-27T02:50:00.52Z,12,Tower 1,ESP32,10 DOF,Wind
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-27T03:50:00.52Z,13,Tower 1,ESP32,10 DOF,Wind
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-27T04:50:00.52Z,14,Tower 1,ESP32,10 DOF,Wind
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-27T05:50:00.52Z,15,Tower 1,ESP32,10 DOF,Wind
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-27T06:50:00.52Z,16,Tower 1,ESP32,10 DOF,Wind
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-27T07:50:00.52Z,17,Tower 1,ESP32,10 DOF,Wind
,,0,2022-06-26T12:47:46.649639Z,2022-06-27T19:47:46.649639Z,2022-06-27T08:50:00.52Z,18,Tower 1,ESP32,10 DOF,Wind
