#group,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_measurement,Type,Sensor,_field
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-04T12:50:00.52Z,9,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-04T13:50:00.52Z,7,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-04T14:50:00.52Z,8,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-04T15:50:00.52Z,4,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-04T16:50:00.52Z,5,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-04T17:50:00.52Z,9,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-04T18:50:00.52Z,7,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-04T19:50:00.52Z,4,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-04T20:50:00.52Z,10,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-04T21:50:00.52Z,9,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-04T22:50:00.52Z,9,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-04T23:50:00.52Z,5,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T00:50:00.52Z,6,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T01:50:00.52Z,8,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T02:50:00.52Z,4,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T03:50:00.52Z,8,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T04:50:00.52Z,5,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T05:50:00.52Z,4,Tower 1,Wind Velocity,Anemometer,ESP32
,,0,2022-07-04T12:47:46.649639Z,2022-07-05T19:47:46.649639Z,2022-07-05T06:50:00.52Z,7,Tower 1,Wind Velocity,Anemometer,ESP32
